Geneid	SRR14612091_myofibroblast_male
ENSSSCG00000004206	26
ENSSSCG00000004207	53
ENSSSCG00000004208	7
ENSSSCG00000004209	584
ENSSSCG00000004210	0
ENSSSCG00000004211	0
ENSSSCG00000004212	0
ENSSSCG00000004213	0
ENSSSCG00000019365	0
ENSSSCG00000004214	4
ENSSSCG00000018593	0
ENSSSCG00000004215	87
ENSSSCG00000004216	393
ENSSSCG00000004217	887
ENSSSCG00000004218	13
ENSSSCG00000004219	24
ENSSSCG00000004220	95
ENSSSCG00000004221	42
ENSSSCG00000004222	738
ENSSSCG00000004223	1094
ENSSSCG00000004224	62
ENSSSCG00000004225	0
ENSSSCG00000004226	40
ENSSSCG00000004227	73
ENSSSCG00000019074	0
ENSSSCG00000019497	0
ENSSSCG00000004231	0
ENSSSCG00000004232	3
ENSSSCG00000004233	265
ENSSSCG00000004234	0
ENSSSCG00000004235	211
ENSSSCG00000004236	0
ENSSSCG00000004237	1001
ENSSSCG00000004238	212
ENSSSCG00000004239	64
ENSSSCG00000020356	0
ENSSSCG00000004240	0
ENSSSCG00000004241	7413
ENSSSCG00000004242	107
ENSSSCG00000004243	9
ENSSSCG00000004244	341
ENSSSCG00000004245	68
ENSSSCG00000004246	242
ENSSSCG00000004247	188
ENSSSCG00000004248	10
ENSSSCG00000004249	43
ENSSSCG00000020423	0
ENSSSCG00000004250	3
ENSSSCG00000004251	908
ENSSSCG00000004252	0
ENSSSCG00000004253	476
ENSSSCG00000004254	441
ENSSSCG00000004255	0
ENSSSCG00000004256	0
ENSSSCG00000004257	0
ENSSSCG00000004258	3
ENSSSCG00000019126	0
ENSSSCG00000004259	0
ENSSSCG00000004260	2
ENSSSCG00000004261	345
ENSSSCG00000004262	16
ENSSSCG00000004263	133
ENSSSCG00000004264	0
ENSSSCG00000018549	0
ENSSSCG00000004265	513
ENSSSCG00000004266	0
ENSSSCG00000004267	1838
ENSSSCG00000004268	491
ENSSSCG00000019521	0
ENSSSCG00000004269	0
ENSSSCG00000020480	0
ENSSSCG00000018616	0
ENSSSCG00000018217	0
ENSSSCG00000004270	0
ENSSSCG00000004271	0
ENSSSCG00000004272	269
ENSSSCG00000004273	0
ENSSSCG00000004274	0
ENSSSCG00000004275	547
ENSSSCG00000004276	726
ENSSSCG00000004277	0
ENSSSCG00000004278	4
ENSSSCG00000004279	166
ENSSSCG00000019520	0
ENSSSCG00000019941	0
ENSSSCG00000020544	0
ENSSSCG00000018440	0
ENSSSCG00000019442	0
ENSSSCG00000004280	0
ENSSSCG00000004281	211
ENSSSCG00000004282	0
ENSSSCG00000004283	0
ENSSSCG00000004284	0
ENSSSCG00000004285	0
ENSSSCG00000004286	82
ENSSSCG00000004287	0
ENSSSCG00000004288	12
ENSSSCG00000004289	101
ENSSSCG00000004290	546
ENSSSCG00000004291	594
ENSSSCG00000004292	3061
ENSSSCG00000004293	2422
ENSSSCG00000004294	3105
