Geneid	SRR14612102_myofibroblast_female
ENSSSCG00000004006	224
ENSSSCG00000004007	61
ENSSSCG00000004008	0
ENSSSCG00000004009	0
ENSSSCG00000004010	55
ENSSSCG00000004011	240
ENSSSCG00000004012	1857
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	0
ENSSSCG00000004018	128
ENSSSCG00000004019	0
ENSSSCG00000004020	266
ENSSSCG00000004021	1
ENSSSCG00000004022	388
ENSSSCG00000004023	126
ENSSSCG00000004024	377
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	28
ENSSSCG00000004028	0
ENSSSCG00000004029	4038
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	3
ENSSSCG00000004033	163
ENSSSCG00000004034	168
ENSSSCG00000004035	0
ENSSSCG00000004036	0
ENSSSCG00000004037	211
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	609
ENSSSCG00000004043	106
ENSSSCG00000004044	2852
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	190
ENSSSCG00000004048	3235
ENSSSCG00000018530	2
ENSSSCG00000018605	4
ENSSSCG00000004049	1568
ENSSSCG00000004050	834
ENSSSCG00000004051	671
ENSSSCG00000004052	816
ENSSSCG00000004053	20
ENSSSCG00000004054	1
ENSSSCG00000004055	16
ENSSSCG00000004056	127
ENSSSCG00000004057	0
ENSSSCG00000004058	3696
ENSSSCG00000004059	48
ENSSSCG00000004060	27
ENSSSCG00000004061	61
ENSSSCG00000020070	0
ENSSSCG00000004062	8
ENSSSCG00000004063	73
ENSSSCG00000004064	1947
ENSSSCG00000019015	0
ENSSSCG00000004065	657
ENSSSCG00000004066	144
ENSSSCG00000004067	10
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1421
ENSSSCG00000004071	262
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	61
ENSSSCG00000004076	142
ENSSSCG00000004077	61
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	53
ENSSSCG00000004081	8
ENSSSCG00000004082	2174
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
