Geneid	SRR14612090_fibroblast_male
ENSSSCG00000004206	34
ENSSSCG00000004207	26
ENSSSCG00000004208	3
ENSSSCG00000004209	1467
ENSSSCG00000004210	0
ENSSSCG00000004211	0
ENSSSCG00000004212	0
ENSSSCG00000004213	0
ENSSSCG00000019365	0
ENSSSCG00000004214	10
ENSSSCG00000018593	0
ENSSSCG00000004215	117
ENSSSCG00000004216	316
ENSSSCG00000004217	783
ENSSSCG00000004218	18
ENSSSCG00000004219	24
ENSSSCG00000004220	145
ENSSSCG00000004221	101
ENSSSCG00000004222	805
ENSSSCG00000004223	1825
ENSSSCG00000004224	118
ENSSSCG00000004225	2
ENSSSCG00000004226	28
ENSSSCG00000004227	87
ENSSSCG00000019074	0
ENSSSCG00000019497	0
ENSSSCG00000004231	0
ENSSSCG00000004232	13
ENSSSCG00000004233	207
ENSSSCG00000004234	0
ENSSSCG00000004235	334
ENSSSCG00000004236	0
ENSSSCG00000004237	1289
ENSSSCG00000004238	183
ENSSSCG00000004239	27
ENSSSCG00000020356	0
ENSSSCG00000004240	0
ENSSSCG00000004241	7209
ENSSSCG00000004242	127
ENSSSCG00000004243	25
ENSSSCG00000004244	651
ENSSSCG00000004245	38
ENSSSCG00000004246	201
ENSSSCG00000004247	175
ENSSSCG00000004248	6
ENSSSCG00000004249	50
ENSSSCG00000020423	0
ENSSSCG00000004250	0
ENSSSCG00000004251	602
ENSSSCG00000004252	0
ENSSSCG00000004253	520
ENSSSCG00000004254	382
ENSSSCG00000004255	0
ENSSSCG00000004256	0
ENSSSCG00000004257	0
ENSSSCG00000004258	0
ENSSSCG00000019126	0
ENSSSCG00000004259	0
ENSSSCG00000004260	3
ENSSSCG00000004261	349
ENSSSCG00000004262	37
ENSSSCG00000004263	85
ENSSSCG00000004264	0
ENSSSCG00000018549	0
ENSSSCG00000004265	689
ENSSSCG00000004266	0
ENSSSCG00000004267	2021
ENSSSCG00000004268	707
ENSSSCG00000019521	0
ENSSSCG00000004269	0
ENSSSCG00000020480	0
ENSSSCG00000018616	0
ENSSSCG00000018217	0
ENSSSCG00000004270	0
ENSSSCG00000004271	0
ENSSSCG00000004272	423
ENSSSCG00000004273	0
ENSSSCG00000004274	6
ENSSSCG00000004275	603
ENSSSCG00000004276	632
ENSSSCG00000004277	6
ENSSSCG00000004278	7
ENSSSCG00000004279	132
ENSSSCG00000019520	0
ENSSSCG00000019941	0
ENSSSCG00000020544	0
ENSSSCG00000018440	0
ENSSSCG00000019442	0
ENSSSCG00000004280	0
ENSSSCG00000004281	256
ENSSSCG00000004282	3
ENSSSCG00000004283	0
ENSSSCG00000004284	0
ENSSSCG00000004285	0
ENSSSCG00000004286	64
ENSSSCG00000004287	0
ENSSSCG00000004288	15
ENSSSCG00000004289	193
ENSSSCG00000004290	565
ENSSSCG00000004291	1139
ENSSSCG00000004292	5755
ENSSSCG00000004293	2064
ENSSSCG00000004294	3887
ENSSSCG00000019135	0
ENSSSCG00000019921	0
ENSSSCG00000004295	0
ENSSSCG00000004296	0
ENSSSCG00000020277	0
ENSSSCG00000004297	0
ENSSSCG00000004298	1383
ENSSSCG00000004299	0
ENSSSCG00000004300	38
ENSSSCG00000004301	6
ENSSSCG00000004302	7
ENSSSCG00000004303	197
ENSSSCG00000004304	263
ENSSSCG00000004305	15
ENSSSCG00000004306	200
ENSSSCG00000004307	1007
ENSSSCG00000004308	0
ENSSSCG00000004309	11
ENSSSCG00000019769	0
ENSSSCG00000004310	47
ENSSSCG00000004311	107
ENSSSCG00000018235	0
ENSSSCG00000004312	325
ENSSSCG00000004313	54
ENSSSCG00000004314	223
ENSSSCG00000004315	0
ENSSSCG00000004316	0
ENSSSCG00000004317	260
ENSSSCG00000004318	0
ENSSSCG00000004319	0
ENSSSCG00000004320	281
ENSSSCG00000018811	0
ENSSSCG00000004321	0
ENSSSCG00000004322	0
ENSSSCG00000004323	83
ENSSSCG00000004324	126
ENSSSCG00000004325	52
ENSSSCG00000004326	440
ENSSSCG00000004327	190
ENSSSCG00000004328	688
ENSSSCG00000004329	85
ENSSSCG00000004330	2
ENSSSCG00000004331	290
ENSSSCG00000004332	81
ENSSSCG00000004333	15
ENSSSCG00000004334	569
ENSSSCG00000004335	26
ENSSSCG00000019674	0
ENSSSCG00000004336	5
ENSSSCG00000018695	0
ENSSSCG00000020518	0
ENSSSCG00000004337	366
ENSSSCG00000004338	0
ENSSSCG00000004339	587
ENSSSCG00000004340	0
ENSSSCG00000004341	12
ENSSSCG00000018143	0
ENSSSCG00000004342	79
ENSSSCG00000004343	0
ENSSSCG00000004344	27
ENSSSCG00000004345	39
ENSSSCG00000018476	0
ENSSSCG00000019582	0
ENSSSCG00000019812	0
ENSSSCG00000018969	0
ENSSSCG00000004346	0
ENSSSCG00000004347	212
ENSSSCG00000004348	66
ENSSSCG00000004349	111
ENSSSCG00000004350	92
ENSSSCG00000004351	107
ENSSSCG00000004352	131
ENSSSCG00000004353	260
ENSSSCG00000004354	0
ENSSSCG00000004355	116
ENSSSCG00000004356	0
ENSSSCG00000004357	0
ENSSSCG00000004358	595
ENSSSCG00000019986	0
ENSSSCG00000004359	529
ENSSSCG00000004360	294
ENSSSCG00000004361	3
ENSSSCG00000004362	0
ENSSSCG00000004363	531
ENSSSCG00000004364	364
ENSSSCG00000004365	0
ENSSSCG00000004366	38
ENSSSCG00000004367	0
ENSSSCG00000004368	768
ENSSSCG00000004369	5
ENSSSCG00000004370	104
ENSSSCG00000004371	416
ENSSSCG00000018392	0
ENSSSCG00000004372	136
ENSSSCG00000004373	89
ENSSSCG00000004374	139
ENSSSCG00000019893	0
ENSSSCG00000004375	150
ENSSSCG00000004376	120
ENSSSCG00000004377	0
ENSSSCG00000018257	0
ENSSSCG00000004378	0
ENSSSCG00000004379	266
ENSSSCG00000004380	0
ENSSSCG00000004381	0
ENSSSCG00000004382	2977
ENSSSCG00000004383	943
ENSSSCG00000004384	7
ENSSSCG00000004385	1337
ENSSSCG00000004386	38
ENSSSCG00000004387	798
ENSSSCG00000004388	14
ENSSSCG00000004389	8
ENSSSCG00000004390	226
ENSSSCG00000004391	15
ENSSSCG00000004392	676
ENSSSCG00000004393	381
ENSSSCG00000004394	121
ENSSSCG00000004395	61
ENSSSCG00000004396	214
ENSSSCG00000004397	58
ENSSSCG00000004398	1
ENSSSCG00000004399	0
ENSSSCG00000004400	18
ENSSSCG00000004401	58
ENSSSCG00000004402	0
ENSSSCG00000004403	383
ENSSSCG00000004404	1
ENSSSCG00000004405	133
ENSSSCG00000004406	0
ENSSSCG00000004407	0
ENSSSCG00000004408	114
ENSSSCG00000004409	267
ENSSSCG00000004410	0
ENSSSCG00000004411	146
ENSSSCG00000004412	1163
ENSSSCG00000004413	0
ENSSSCG00000004414	12661
ENSSSCG00000004415	30
ENSSSCG00000004416	0
ENSSSCG00000004417	1
ENSSSCG00000004418	71
ENSSSCG00000004419	68
ENSSSCG00000004420	580
ENSSSCG00000004421	1628
ENSSSCG00000019932	0
ENSSSCG00000004422	0
ENSSSCG00000004423	29
ENSSSCG00000004424	0
ENSSSCG00000004425	13320
ENSSSCG00000004426	0
ENSSSCG00000004427	8
ENSSSCG00000004428	1177
ENSSSCG00000004429	155
ENSSSCG00000004430	8
ENSSSCG00000004431	1586
ENSSSCG00000004432	1555
ENSSSCG00000004433	0
ENSSSCG00000004434	75
ENSSSCG00000004435	186
ENSSSCG00000004436	0
ENSSSCG00000004437	41
ENSSSCG00000004438	236
ENSSSCG00000004439	41
ENSSSCG00000004440	195
ENSSSCG00000004441	3538
ENSSSCG00000004442	0
ENSSSCG00000004443	249
ENSSSCG00000004444	4
ENSSSCG00000004445	0
ENSSSCG00000004446	539
ENSSSCG00000004447	0
ENSSSCG00000004448	0
ENSSSCG00000004449	0
ENSSSCG00000004450	0
ENSSSCG00000004451	0
ENSSSCG00000004452	271
ENSSSCG00000004453	0
ENSSSCG00000004454	1052
ENSSSCG00000004455	74
ENSSSCG00000004456	810
ENSSSCG00000004457	492
ENSSSCG00000004458	1859
ENSSSCG00000004459	46
ENSSSCG00000004460	1164
ENSSSCG00000004461	344
ENSSSCG00000020262	0
ENSSSCG00000004462	55
ENSSSCG00000020103	0
ENSSSCG00000004463	0
ENSSSCG00000004464	361
ENSSSCG00000004465	19
ENSSSCG00000004466	158
ENSSSCG00000004467	33
ENSSSCG00000004468	2
ENSSSCG00000004469	0
ENSSSCG00000019998	0
ENSSSCG00000004470	348
ENSSSCG00000004471	17
ENSSSCG00000004472	63
ENSSSCG00000004473	343
ENSSSCG00000004474	0
ENSSSCG00000004475	172
ENSSSCG00000004476	0
ENSSSCG00000004477	0
ENSSSCG00000004478	463
ENSSSCG00000019589	0
ENSSSCG00000020280	0
ENSSSCG00000020416	0
ENSSSCG00000004479	158
ENSSSCG00000004480	254
ENSSSCG00000004481	1559
ENSSSCG00000004482	12917
ENSSSCG00000004483	254
ENSSSCG00000004484	23825
ENSSSCG00000019305	0
ENSSSCG00000019933	0
ENSSSCG00000004485	2622
ENSSSCG00000004486	97
ENSSSCG00000004487	151
ENSSSCG00000004488	42
ENSSSCG00000004489	119354
ENSSSCG00000004490	311
ENSSSCG00000018364	0
ENSSSCG00000004491	0
ENSSSCG00000004492	0
ENSSSCG00000004493	1
ENSSSCG00000004494	50
ENSSSCG00000004495	0
ENSSSCG00000004496	11
ENSSSCG00000004497	0
ENSSSCG00000004498	62
ENSSSCG00000004499	5058
ENSSSCG00000004500	192
ENSSSCG00000004501	0
ENSSSCG00000004502	0
ENSSSCG00000004503	0
ENSSSCG00000004504	2
ENSSSCG00000004505	327
ENSSSCG00000004506	219
ENSSSCG00000004507	496
ENSSSCG00000004508	306
ENSSSCG00000004509	1371
ENSSSCG00000004510	170
ENSSSCG00000020045	0
ENSSSCG00000020491	0
ENSSSCG00000004511	2
ENSSSCG00000004512	0
ENSSSCG00000004513	0
ENSSSCG00000004514	26
ENSSSCG00000004515	2
ENSSSCG00000004516	262
ENSSSCG00000004517	316
ENSSSCG00000004518	32
ENSSSCG00000004519	0
ENSSSCG00000004520	2
ENSSSCG00000004521	2
ENSSSCG00000004522	779
ENSSSCG00000004523	85
ENSSSCG00000019329	0
ENSSSCG00000004524	1595
ENSSSCG00000004525	875
ENSSSCG00000004526	0
ENSSSCG00000004527	11
ENSSSCG00000004528	1349
ENSSSCG00000004529	64
ENSSSCG00000004530	30
ENSSSCG00000004531	94
ENSSSCG00000004532	0
ENSSSCG00000004533	10
ENSSSCG00000004534	3
ENSSSCG00000019922	0
ENSSSCG00000004535	969
ENSSSCG00000020381	0
ENSSSCG00000004536	0
ENSSSCG00000004537	1594
ENSSSCG00000004538	260
ENSSSCG00000004539	0
ENSSSCG00000004540	1
ENSSSCG00000004541	252
ENSSSCG00000004542	3924
ENSSSCG00000004543	147
ENSSSCG00000004544	516
ENSSSCG00000004545	0
ENSSSCG00000004546	119
ENSSSCG00000004547	361
ENSSSCG00000004548	1
