Geneid	SRR14612099_myofibroblast_female
ENSSSCG00000004206	30
ENSSSCG00000004207	16
ENSSSCG00000004208	2
ENSSSCG00000004209	1086
ENSSSCG00000004210	0
ENSSSCG00000004211	0
ENSSSCG00000004212	0
ENSSSCG00000004213	0
ENSSSCG00000019365	0
ENSSSCG00000004214	33
ENSSSCG00000018593	0
ENSSSCG00000004215	121
ENSSSCG00000004216	304
ENSSSCG00000004217	909
ENSSSCG00000004218	10
ENSSSCG00000004219	59
ENSSSCG00000004220	67
ENSSSCG00000004221	50
ENSSSCG00000004222	898
ENSSSCG00000004223	1294
ENSSSCG00000004224	69
ENSSSCG00000004225	0
ENSSSCG00000004226	10
ENSSSCG00000004227	85
ENSSSCG00000019074	0
ENSSSCG00000019497	0
ENSSSCG00000004231	0
ENSSSCG00000004232	6
ENSSSCG00000004233	254
ENSSSCG00000004234	0
ENSSSCG00000004235	292
ENSSSCG00000004236	3
ENSSSCG00000004237	1169
ENSSSCG00000004238	157
ENSSSCG00000004239	60
ENSSSCG00000020356	2
ENSSSCG00000004240	0
ENSSSCG00000004241	6652
ENSSSCG00000004242	167
ENSSSCG00000004243	29
ENSSSCG00000004244	931
ENSSSCG00000004245	88
ENSSSCG00000004246	186
ENSSSCG00000004247	120
ENSSSCG00000004248	30
ENSSSCG00000004249	60
ENSSSCG00000020423	0
ENSSSCG00000004250	6
ENSSSCG00000004251	626
ENSSSCG00000004252	0
ENSSSCG00000004253	489
ENSSSCG00000004254	682
ENSSSCG00000004255	0
ENSSSCG00000004256	0
ENSSSCG00000004257	0
ENSSSCG00000004258	0
ENSSSCG00000019126	0
ENSSSCG00000004259	0
ENSSSCG00000004260	2
ENSSSCG00000004261	327
ENSSSCG00000004262	33
ENSSSCG00000004263	109
ENSSSCG00000004264	0
ENSSSCG00000018549	0
ENSSSCG00000004265	670
ENSSSCG00000004266	0
ENSSSCG00000004267	2197
ENSSSCG00000004268	715
ENSSSCG00000019521	0
ENSSSCG00000004269	0
ENSSSCG00000020480	0
ENSSSCG00000018616	0
ENSSSCG00000018217	0
ENSSSCG00000004270	0
ENSSSCG00000004271	0
ENSSSCG00000004272	333
ENSSSCG00000004273	0
ENSSSCG00000004274	0
ENSSSCG00000004275	772
ENSSSCG00000004276	720
ENSSSCG00000004277	0
ENSSSCG00000004278	1
ENSSSCG00000004279	226
ENSSSCG00000019520	0
ENSSSCG00000019941	0
ENSSSCG00000020544	0
ENSSSCG00000018440	0
ENSSSCG00000019442	0
ENSSSCG00000004280	0
ENSSSCG00000004281	302
ENSSSCG00000004282	0
ENSSSCG00000004283	0
ENSSSCG00000004284	0
ENSSSCG00000004285	0
ENSSSCG00000004286	91
ENSSSCG00000004287	0
ENSSSCG00000004288	22
ENSSSCG00000004289	116
ENSSSCG00000004290	404
ENSSSCG00000004291	844
ENSSSCG00000004292	4234
ENSSSCG00000004293	2129
ENSSSCG00000004294	3838
ENSSSCG00000019135	2
ENSSSCG00000019921	0
ENSSSCG00000004295	0
ENSSSCG00000004296	0
ENSSSCG00000020277	0
ENSSSCG00000004297	0
ENSSSCG00000004298	940
ENSSSCG00000004299	0
ENSSSCG00000004300	52
ENSSSCG00000004301	0
ENSSSCG00000004302	9
ENSSSCG00000004303	189
ENSSSCG00000004304	294
ENSSSCG00000004305	17
ENSSSCG00000004306	236
ENSSSCG00000004307	1558
ENSSSCG00000004308	0
ENSSSCG00000004309	37
ENSSSCG00000019769	0
ENSSSCG00000004310	34
ENSSSCG00000004311	87
ENSSSCG00000018235	0
ENSSSCG00000004312	176
ENSSSCG00000004313	45
ENSSSCG00000004314	220
ENSSSCG00000004315	0
ENSSSCG00000004316	0
ENSSSCG00000004317	324
ENSSSCG00000004318	7
ENSSSCG00000004319	0
ENSSSCG00000004320	303
ENSSSCG00000018811	0
ENSSSCG00000004321	0
ENSSSCG00000004322	0
ENSSSCG00000004323	72
ENSSSCG00000004324	132
ENSSSCG00000004325	49
ENSSSCG00000004326	435
ENSSSCG00000004327	194
ENSSSCG00000004328	671
ENSSSCG00000004329	75
ENSSSCG00000004330	0
ENSSSCG00000004331	369
ENSSSCG00000004332	68
ENSSSCG00000004333	15
ENSSSCG00000004334	750
ENSSSCG00000004335	45
ENSSSCG00000019674	0
ENSSSCG00000004336	19
ENSSSCG00000018695	0
ENSSSCG00000020518	0
ENSSSCG00000004337	423
ENSSSCG00000004338	0
ENSSSCG00000004339	584
ENSSSCG00000004340	0
ENSSSCG00000004341	44
ENSSSCG00000018143	0
ENSSSCG00000004342	120
ENSSSCG00000004343	0
ENSSSCG00000004344	36
ENSSSCG00000004345	45
ENSSSCG00000018476	0
ENSSSCG00000019582	0
ENSSSCG00000019812	0
ENSSSCG00000018969	0
ENSSSCG00000004346	0
ENSSSCG00000004347	309
ENSSSCG00000004348	76
ENSSSCG00000004349	150
ENSSSCG00000004350	80
ENSSSCG00000004351	145
ENSSSCG00000004352	67
ENSSSCG00000004353	259
ENSSSCG00000004354	0
ENSSSCG00000004355	67
ENSSSCG00000004356	0
ENSSSCG00000004357	0
ENSSSCG00000004358	714
ENSSSCG00000019986	0
ENSSSCG00000004359	617
ENSSSCG00000004360	334
ENSSSCG00000004361	0
ENSSSCG00000004362	0
ENSSSCG00000004363	851
ENSSSCG00000004364	563
ENSSSCG00000004365	0
ENSSSCG00000004366	170
ENSSSCG00000004367	11
ENSSSCG00000004368	1256
ENSSSCG00000004369	1
ENSSSCG00000004370	90
ENSSSCG00000004371	506
ENSSSCG00000018392	0
ENSSSCG00000004372	166
ENSSSCG00000004373	141
ENSSSCG00000004374	179
ENSSSCG00000019893	0
ENSSSCG00000004375	145
ENSSSCG00000004376	51
ENSSSCG00000004377	0
ENSSSCG00000018257	0
ENSSSCG00000004378	0
ENSSSCG00000004379	166
ENSSSCG00000004380	0
ENSSSCG00000004381	0
ENSSSCG00000004382	1882
ENSSSCG00000004383	791
ENSSSCG00000004384	0
ENSSSCG00000004385	1305
ENSSSCG00000004386	54
ENSSSCG00000004387	700
ENSSSCG00000004388	37
ENSSSCG00000004389	10
ENSSSCG00000004390	83
ENSSSCG00000004391	15
ENSSSCG00000004392	757
ENSSSCG00000004393	281
ENSSSCG00000004394	113
ENSSSCG00000004395	41
ENSSSCG00000004396	152
ENSSSCG00000004397	47
ENSSSCG00000004398	0
ENSSSCG00000004399	0
ENSSSCG00000004400	4
ENSSSCG00000004401	46
ENSSSCG00000004402	0
ENSSSCG00000004403	291
ENSSSCG00000004404	17
ENSSSCG00000004405	196
ENSSSCG00000004406	0
ENSSSCG00000004407	0
ENSSSCG00000004408	57
ENSSSCG00000004409	314
ENSSSCG00000004410	0
ENSSSCG00000004411	142
ENSSSCG00000004412	1575
ENSSSCG00000004413	0
ENSSSCG00000004414	9307
ENSSSCG00000004415	44
ENSSSCG00000004416	0
ENSSSCG00000004417	24
ENSSSCG00000004418	74
ENSSSCG00000004419	44
ENSSSCG00000004420	397
ENSSSCG00000004421	1087
ENSSSCG00000019932	0
ENSSSCG00000004422	0
ENSSSCG00000004423	40
ENSSSCG00000004424	0
ENSSSCG00000004425	11741
ENSSSCG00000004426	0
ENSSSCG00000004427	5
ENSSSCG00000004428	988
ENSSSCG00000004429	122
ENSSSCG00000004430	4
ENSSSCG00000004431	1259
ENSSSCG00000004432	1277
ENSSSCG00000004433	8
ENSSSCG00000004434	17
ENSSSCG00000004435	126
ENSSSCG00000004436	0
ENSSSCG00000004437	20
ENSSSCG00000004438	182
ENSSSCG00000004439	24
ENSSSCG00000004440	145
ENSSSCG00000004441	2209
ENSSSCG00000004442	0
ENSSSCG00000004443	124
ENSSSCG00000004444	0
ENSSSCG00000004445	0
ENSSSCG00000004446	511
ENSSSCG00000004447	0
ENSSSCG00000004448	0
ENSSSCG00000004449	0
ENSSSCG00000004450	0
ENSSSCG00000004451	0
ENSSSCG00000004452	232
ENSSSCG00000004453	0
ENSSSCG00000004454	1271
ENSSSCG00000004455	47
ENSSSCG00000004456	955
ENSSSCG00000004457	601
ENSSSCG00000004458	1023
ENSSSCG00000004459	34
ENSSSCG00000004460	1264
ENSSSCG00000004461	292
ENSSSCG00000020262	0
ENSSSCG00000004462	25
ENSSSCG00000020103	0
ENSSSCG00000004463	0
ENSSSCG00000004464	205
ENSSSCG00000004465	25
ENSSSCG00000004466	401
ENSSSCG00000004467	13
ENSSSCG00000004468	0
ENSSSCG00000004469	0
ENSSSCG00000019998	0
ENSSSCG00000004470	339
ENSSSCG00000004471	28
ENSSSCG00000004472	62
ENSSSCG00000004473	319
ENSSSCG00000004474	0
ENSSSCG00000004475	830
ENSSSCG00000004476	0
ENSSSCG00000004477	0
ENSSSCG00000004478	797
ENSSSCG00000019589	0
ENSSSCG00000020280	0
ENSSSCG00000020416	0
ENSSSCG00000004479	245
ENSSSCG00000004480	230
ENSSSCG00000004481	1432
ENSSSCG00000004482	18257
ENSSSCG00000004483	256
ENSSSCG00000004484	33888
ENSSSCG00000019305	0
ENSSSCG00000019933	0
ENSSSCG00000004485	5038
ENSSSCG00000004486	123
ENSSSCG00000004487	175
ENSSSCG00000004488	25
ENSSSCG00000004489	107034
ENSSSCG00000004490	399
ENSSSCG00000018364	0
ENSSSCG00000004491	1
ENSSSCG00000004492	0
ENSSSCG00000004493	0
ENSSSCG00000004494	78
ENSSSCG00000004495	0
ENSSSCG00000004496	33
ENSSSCG00000004497	5
ENSSSCG00000004498	62
ENSSSCG00000004499	4839
ENSSSCG00000004500	197
ENSSSCG00000004501	0
ENSSSCG00000004502	0
ENSSSCG00000004503	0
ENSSSCG00000004504	3
ENSSSCG00000004505	426
ENSSSCG00000004506	565
ENSSSCG00000004507	319
ENSSSCG00000004508	404
ENSSSCG00000004509	7232
ENSSSCG00000004510	114
ENSSSCG00000020045	0
ENSSSCG00000020491	0
ENSSSCG00000004511	3
ENSSSCG00000004512	4
ENSSSCG00000004513	0
ENSSSCG00000004514	9
ENSSSCG00000004515	15
ENSSSCG00000004516	273
ENSSSCG00000004517	257
ENSSSCG00000004518	108
ENSSSCG00000004519	8
ENSSSCG00000004520	29
ENSSSCG00000004521	0
ENSSSCG00000004522	1011
ENSSSCG00000004523	68
ENSSSCG00000019329	0
ENSSSCG00000004524	1620
ENSSSCG00000004525	666
ENSSSCG00000004526	0
ENSSSCG00000004527	11
ENSSSCG00000004528	1925
ENSSSCG00000004529	46
ENSSSCG00000004530	9
ENSSSCG00000004531	167
ENSSSCG00000004532	0
ENSSSCG00000004533	13
ENSSSCG00000004534	0
