Geneid	SRR14612089_fibroblast_male
ENSSSCG00000004006	232
ENSSSCG00000004007	171
ENSSSCG00000004008	4
ENSSSCG00000004009	0
ENSSSCG00000004010	172
ENSSSCG00000004011	234
ENSSSCG00000004012	4370
ENSSSCG00000018614	0
ENSSSCG00000004013	1
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	7
ENSSSCG00000004018	164
ENSSSCG00000004019	0
ENSSSCG00000004020	390
ENSSSCG00000004021	0
ENSSSCG00000004022	339
ENSSSCG00000004023	110
ENSSSCG00000004024	719
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	55
ENSSSCG00000004028	0
ENSSSCG00000004029	3009
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	8
ENSSSCG00000004033	143
ENSSSCG00000004034	149
ENSSSCG00000004035	0
ENSSSCG00000004036	1
ENSSSCG00000004037	174
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	2
ENSSSCG00000004042	754
ENSSSCG00000004043	103
ENSSSCG00000004044	3648
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	294
ENSSSCG00000004048	2715
ENSSSCG00000018530	1
ENSSSCG00000018605	4
ENSSSCG00000004049	1542
ENSSSCG00000004050	1071
ENSSSCG00000004051	14686
ENSSSCG00000004052	2180
ENSSSCG00000004053	19
ENSSSCG00000004054	0
ENSSSCG00000004055	22
ENSSSCG00000004056	115
ENSSSCG00000004057	1
ENSSSCG00000004058	2727
ENSSSCG00000004059	47
ENSSSCG00000004060	44
ENSSSCG00000004061	59
ENSSSCG00000020070	0
ENSSSCG00000004062	24
ENSSSCG00000004063	97
ENSSSCG00000004064	1477
ENSSSCG00000019015	0
ENSSSCG00000004065	747
ENSSSCG00000004066	216
ENSSSCG00000004067	20
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1513
ENSSSCG00000004071	165
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	53
ENSSSCG00000004076	100
ENSSSCG00000004077	83
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	16
ENSSSCG00000004081	8
ENSSSCG00000004082	1543
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	48
ENSSSCG00000004088	251
ENSSSCG00000004089	176
ENSSSCG00000004090	189
ENSSSCG00000004091	2219
ENSSSCG00000004092	816
ENSSSCG00000004093	0
ENSSSCG00000004094	1
ENSSSCG00000004095	7
ENSSSCG00000004096	11
ENSSSCG00000004097	1
ENSSSCG00000004098	28
ENSSSCG00000004099	4
ENSSSCG00000004100	26
ENSSSCG00000004101	187
ENSSSCG00000004102	0
ENSSSCG00000004103	911
ENSSSCG00000004104	437
ENSSSCG00000004105	134
ENSSSCG00000004106	1054
ENSSSCG00000004107	153
ENSSSCG00000004108	611
ENSSSCG00000004109	15
ENSSSCG00000004110	1281
ENSSSCG00000004111	145
ENSSSCG00000020613	0
ENSSSCG00000004112	0
ENSSSCG00000004113	153
ENSSSCG00000004114	5
ENSSSCG00000004115	0
ENSSSCG00000004116	0
ENSSSCG00000004117	407
ENSSSCG00000004118	7
ENSSSCG00000004119	0
ENSSSCG00000004120	424
ENSSSCG00000004121	1060
ENSSSCG00000004122	43
ENSSSCG00000004123	655
ENSSSCG00000004124	1592
ENSSSCG00000004125	419
ENSSSCG00000004126	223
ENSSSCG00000004127	416
ENSSSCG00000004128	1
ENSSSCG00000004129	3
ENSSSCG00000004130	147
ENSSSCG00000004131	28
ENSSSCG00000004132	357
ENSSSCG00000020208	0
ENSSSCG00000004133	1451
ENSSSCG00000004134	251
ENSSSCG00000004135	69
ENSSSCG00000004136	687
ENSSSCG00000004137	0
ENSSSCG00000004138	5717
ENSSSCG00000004139	794
ENSSSCG00000004140	312
ENSSSCG00000004141	0
ENSSSCG00000019021	0
ENSSSCG00000018603	0
ENSSSCG00000004142	1322
ENSSSCG00000004143	0
ENSSSCG00000004144	346
ENSSSCG00000004145	531
ENSSSCG00000004146	572
ENSSSCG00000004147	0
ENSSSCG00000004148	164
ENSSSCG00000004149	75
ENSSSCG00000020384	0
ENSSSCG00000004150	587
ENSSSCG00000019434	0
ENSSSCG00000004151	101
ENSSSCG00000004152	0
ENSSSCG00000004153	23
ENSSSCG00000004155	0
ENSSSCG00000004156	772
ENSSSCG00000004157	19
ENSSSCG00000004158	0
ENSSSCG00000004159	1
ENSSSCG00000004160	88
ENSSSCG00000020379	0
ENSSSCG00000004161	29
ENSSSCG00000004162	0
ENSSSCG00000004163	3124
ENSSSCG00000004164	31
ENSSSCG00000004165	141
ENSSSCG00000020601	2
ENSSSCG00000004166	534
ENSSSCG00000004167	7
ENSSSCG00000004168	121
ENSSSCG00000004169	909
ENSSSCG00000004170	177
ENSSSCG00000004171	106
ENSSSCG00000020130	0
ENSSSCG00000019571	0
ENSSSCG00000019507	0
ENSSSCG00000004172	51
ENSSSCG00000004173	179
ENSSSCG00000004174	61
ENSSSCG00000004175	0
ENSSSCG00000004176	0
ENSSSCG00000004177	8341
ENSSSCG00000018972	4
ENSSSCG00000018450	1
ENSSSCG00000018352	0
ENSSSCG00000004178	103
ENSSSCG00000004179	0
ENSSSCG00000004180	0
ENSSSCG00000004181	0
ENSSSCG00000019778	0
ENSSSCG00000004182	0
ENSSSCG00000004183	0
ENSSSCG00000004184	0
ENSSSCG00000004185	0
ENSSSCG00000004186	0
ENSSSCG00000004187	0
ENSSSCG00000004188	0
ENSSSCG00000004189	0
ENSSSCG00000004190	524
ENSSSCG00000018825	0
ENSSSCG00000004191	7
ENSSSCG00000004192	40133
ENSSSCG00000004193	1045
ENSSSCG00000004194	3
ENSSSCG00000004195	0
ENSSSCG00000004196	688
ENSSSCG00000020095	1
ENSSSCG00000004197	100
ENSSSCG00000004198	7
ENSSSCG00000004199	4114
ENSSSCG00000004200	0
ENSSSCG00000004201	494
ENSSSCG00000004202	1
ENSSSCG00000004203	270
ENSSSCG00000004204	0
ENSSSCG00000004205	63
ENSSSCG00000004206	31
ENSSSCG00000004207	42
ENSSSCG00000004208	3
ENSSSCG00000004209	1578
ENSSSCG00000004210	0
ENSSSCG00000004211	0
ENSSSCG00000004212	0
ENSSSCG00000004213	0
ENSSSCG00000019365	0
ENSSSCG00000004214	4
ENSSSCG00000018593	0
ENSSSCG00000004215	108
ENSSSCG00000004216	324
ENSSSCG00000004217	930
ENSSSCG00000004218	56
ENSSSCG00000004219	24
ENSSSCG00000004220	114
ENSSSCG00000004221	106
ENSSSCG00000004222	1002
ENSSSCG00000004223	2204
ENSSSCG00000004224	127
ENSSSCG00000004225	3
ENSSSCG00000004226	25
ENSSSCG00000004227	62
ENSSSCG00000019074	0
ENSSSCG00000019497	0
ENSSSCG00000004231	0
ENSSSCG00000004232	15
ENSSSCG00000004233	254
ENSSSCG00000004234	0
ENSSSCG00000004235	332
ENSSSCG00000004236	0
ENSSSCG00000004237	1292
ENSSSCG00000004238	169
ENSSSCG00000004239	44
ENSSSCG00000020356	0
ENSSSCG00000004240	0
ENSSSCG00000004241	8906
ENSSSCG00000004242	138
ENSSSCG00000004243	27
ENSSSCG00000004244	763
ENSSSCG00000004245	67
ENSSSCG00000004246	257
ENSSSCG00000004247	216
ENSSSCG00000004248	1
ENSSSCG00000004249	75
ENSSSCG00000020423	0
ENSSSCG00000004250	1
ENSSSCG00000004251	662
ENSSSCG00000004252	0
ENSSSCG00000004253	605
ENSSSCG00000004254	352
ENSSSCG00000004255	0
ENSSSCG00000004256	0
ENSSSCG00000004257	0
ENSSSCG00000004258	0
ENSSSCG00000019126	0
ENSSSCG00000004259	0
ENSSSCG00000004260	5
ENSSSCG00000004261	497
ENSSSCG00000004262	28
ENSSSCG00000004263	175
ENSSSCG00000004264	1
ENSSSCG00000018549	0
ENSSSCG00000004265	839
ENSSSCG00000004266	0
ENSSSCG00000004267	2304
ENSSSCG00000004268	861
ENSSSCG00000019521	0
ENSSSCG00000004269	0
ENSSSCG00000020480	0
ENSSSCG00000018616	0
ENSSSCG00000018217	0
ENSSSCG00000004270	0
ENSSSCG00000004271	0
ENSSSCG00000004272	419
ENSSSCG00000004273	0
ENSSSCG00000004274	0
ENSSSCG00000004275	824
ENSSSCG00000004276	893
ENSSSCG00000004277	15
ENSSSCG00000004278	10
ENSSSCG00000004279	186
ENSSSCG00000019520	0
ENSSSCG00000019941	0
ENSSSCG00000020544	0
ENSSSCG00000018440	0
ENSSSCG00000019442	0
ENSSSCG00000004280	5
ENSSSCG00000004281	227
ENSSSCG00000004282	5
ENSSSCG00000004283	0
ENSSSCG00000004284	0
ENSSSCG00000004285	0
ENSSSCG00000004286	87
ENSSSCG00000004287	0
ENSSSCG00000004288	17
ENSSSCG00000004289	215
ENSSSCG00000004290	1261
ENSSSCG00000004291	958
