Geneid	SRR14612095_fibroblast_female
ENSSSCG00000004206	30
ENSSSCG00000004207	49
ENSSSCG00000004208	4
ENSSSCG00000004209	1867
ENSSSCG00000004210	0
ENSSSCG00000004211	0
ENSSSCG00000004212	0
ENSSSCG00000004213	0
ENSSSCG00000019365	0
ENSSSCG00000004214	3
ENSSSCG00000018593	0
ENSSSCG00000004215	128
ENSSSCG00000004216	355
ENSSSCG00000004217	938
ENSSSCG00000004218	9
ENSSSCG00000004219	33
ENSSSCG00000004220	103
ENSSSCG00000004221	108
ENSSSCG00000004222	974
ENSSSCG00000004223	1453
ENSSSCG00000004224	91
ENSSSCG00000004225	1
ENSSSCG00000004226	24
ENSSSCG00000004227	76
ENSSSCG00000019074	0
ENSSSCG00000019497	0
ENSSSCG00000004231	0
ENSSSCG00000004232	15
ENSSSCG00000004233	240
ENSSSCG00000004234	0
ENSSSCG00000004235	370
ENSSSCG00000004236	0
ENSSSCG00000004237	1509
ENSSSCG00000004238	164
ENSSSCG00000004239	42
ENSSSCG00000020356	0
ENSSSCG00000004240	0
ENSSSCG00000004241	6443
ENSSSCG00000004242	157
ENSSSCG00000004243	13
ENSSSCG00000004244	1064
ENSSSCG00000004245	63
ENSSSCG00000004246	223
ENSSSCG00000004247	163
ENSSSCG00000004248	19
ENSSSCG00000004249	81
ENSSSCG00000020423	0
ENSSSCG00000004250	0
ENSSSCG00000004251	405
ENSSSCG00000004252	0
ENSSSCG00000004253	583
ENSSSCG00000004254	396
ENSSSCG00000004255	0
ENSSSCG00000004256	0
ENSSSCG00000004257	0
ENSSSCG00000004258	0
ENSSSCG00000019126	0
ENSSSCG00000004259	0
ENSSSCG00000004260	0
ENSSSCG00000004261	462
ENSSSCG00000004262	27
ENSSSCG00000004263	141
ENSSSCG00000004264	0
ENSSSCG00000018549	0
ENSSSCG00000004265	846
ENSSSCG00000004266	0
ENSSSCG00000004267	2359
ENSSSCG00000004268	776
ENSSSCG00000019521	0
ENSSSCG00000004269	0
ENSSSCG00000020480	0
ENSSSCG00000018616	0
ENSSSCG00000018217	0
ENSSSCG00000004270	0
ENSSSCG00000004271	2
ENSSSCG00000004272	501
ENSSSCG00000004273	0
ENSSSCG00000004274	0
ENSSSCG00000004275	791
ENSSSCG00000004276	737
ENSSSCG00000004277	5
ENSSSCG00000004278	6
ENSSSCG00000004279	204
ENSSSCG00000019520	0
ENSSSCG00000019941	0
ENSSSCG00000020544	0
ENSSSCG00000018440	0
ENSSSCG00000019442	0
ENSSSCG00000004280	0
ENSSSCG00000004281	223
ENSSSCG00000004282	3
ENSSSCG00000004283	0
ENSSSCG00000004284	1
ENSSSCG00000004285	0
ENSSSCG00000004286	91
ENSSSCG00000004287	0
ENSSSCG00000004288	33
ENSSSCG00000004289	207
ENSSSCG00000004290	801
ENSSSCG00000004291	1687
ENSSSCG00000004292	9088
ENSSSCG00000004293	2185
ENSSSCG00000004294	3413
ENSSSCG00000019135	2
ENSSSCG00000019921	0
ENSSSCG00000004295	0
ENSSSCG00000004296	0
ENSSSCG00000020277	0
ENSSSCG00000004297	0
ENSSSCG00000004298	1318
ENSSSCG00000004299	0
ENSSSCG00000004300	52
ENSSSCG00000004301	2
ENSSSCG00000004302	5
ENSSSCG00000004303	204
ENSSSCG00000004304	308
ENSSSCG00000004305	41
ENSSSCG00000004306	239
ENSSSCG00000004307	1173
ENSSSCG00000004308	1
ENSSSCG00000004309	11
ENSSSCG00000019769	0
ENSSSCG00000004310	38
ENSSSCG00000004311	87
ENSSSCG00000018235	0
ENSSSCG00000004312	351
ENSSSCG00000004313	35
ENSSSCG00000004314	338
ENSSSCG00000004315	0
ENSSSCG00000004316	0
ENSSSCG00000004317	250
ENSSSCG00000004318	0
ENSSSCG00000004319	0
ENSSSCG00000004320	201
ENSSSCG00000018811	0
ENSSSCG00000004321	0
ENSSSCG00000004322	4
ENSSSCG00000004323	92
ENSSSCG00000004324	175
ENSSSCG00000004325	56
ENSSSCG00000004326	560
ENSSSCG00000004327	195
ENSSSCG00000004328	736
ENSSSCG00000004329	59
ENSSSCG00000004330	0
ENSSSCG00000004331	410
ENSSSCG00000004332	66
ENSSSCG00000004333	15
ENSSSCG00000004334	660
ENSSSCG00000004335	46
ENSSSCG00000019674	0
ENSSSCG00000004336	5
ENSSSCG00000018695	0
ENSSSCG00000020518	0
ENSSSCG00000004337	316
ENSSSCG00000004338	0
ENSSSCG00000004339	674
ENSSSCG00000004340	0
ENSSSCG00000004341	39
ENSSSCG00000018143	0
ENSSSCG00000004342	88
ENSSSCG00000004343	0
ENSSSCG00000004344	39
ENSSSCG00000004345	38
ENSSSCG00000018476	0
