Geneid	SRR14612098_fibroblast_female
ENSSSCG00000004006	213
ENSSSCG00000004007	125
ENSSSCG00000004008	4
ENSSSCG00000004009	0
ENSSSCG00000004010	160
ENSSSCG00000004011	240
ENSSSCG00000004012	2161
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	3
ENSSSCG00000004018	177
ENSSSCG00000004019	0
ENSSSCG00000004020	372
ENSSSCG00000004021	0
ENSSSCG00000004022	361
ENSSSCG00000004023	137
ENSSSCG00000004024	712
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	86
ENSSSCG00000004028	0
ENSSSCG00000004029	2746
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	11
ENSSSCG00000004033	139
ENSSSCG00000004034	175
ENSSSCG00000004035	0
ENSSSCG00000004036	4
ENSSSCG00000004037	221
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	1013
ENSSSCG00000004043	172
ENSSSCG00000004044	4733
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	394
ENSSSCG00000004048	3053
ENSSSCG00000018530	3
ENSSSCG00000018605	3
ENSSSCG00000004049	2207
ENSSSCG00000004050	1180
ENSSSCG00000004051	13295
ENSSSCG00000004052	630
ENSSSCG00000004053	23
ENSSSCG00000004054	0
ENSSSCG00000004055	32
ENSSSCG00000004056	110
ENSSSCG00000004057	0
ENSSSCG00000004058	2492
ENSSSCG00000004059	38
ENSSSCG00000004060	57
ENSSSCG00000004061	54
ENSSSCG00000020070	0
ENSSSCG00000004062	9
ENSSSCG00000004063	143
ENSSSCG00000004064	1469
ENSSSCG00000019015	0
ENSSSCG00000004065	640
ENSSSCG00000004066	202
ENSSSCG00000004067	7
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1412
ENSSSCG00000004071	203
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	3
ENSSSCG00000004075	64
ENSSSCG00000004076	179
ENSSSCG00000004077	124
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	48
ENSSSCG00000004081	14
ENSSSCG00000004082	1384
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	63
ENSSSCG00000004088	253
ENSSSCG00000004089	123
ENSSSCG00000004090	214
ENSSSCG00000004091	1891
ENSSSCG00000004092	762
ENSSSCG00000004093	0
ENSSSCG00000004094	0
ENSSSCG00000004095	6
