Geneid	SRR14612096_fibroblast_female
ENSSSCG00000004006	190
ENSSSCG00000004007	152
ENSSSCG00000004008	0
ENSSSCG00000004009	0
ENSSSCG00000004010	170
ENSSSCG00000004011	201
ENSSSCG00000004012	3228
ENSSSCG00000018614	0
ENSSSCG00000004013	1
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	1
ENSSSCG00000004017	10
ENSSSCG00000004018	186
ENSSSCG00000004019	0
ENSSSCG00000004020	337
ENSSSCG00000004021	0
ENSSSCG00000004022	383
ENSSSCG00000004023	107
ENSSSCG00000004024	698
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	38
ENSSSCG00000004028	0
ENSSSCG00000004029	2849
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	4
ENSSSCG00000004033	197
ENSSSCG00000004034	176
ENSSSCG00000004035	0
ENSSSCG00000004036	3
ENSSSCG00000004037	195
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	788
ENSSSCG00000004043	157
ENSSSCG00000004044	3812
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	342
ENSSSCG00000004048	2630
ENSSSCG00000018530	2
ENSSSCG00000018605	4
ENSSSCG00000004049	1361
ENSSSCG00000004050	1214
ENSSSCG00000004051	16430
ENSSSCG00000004052	459
ENSSSCG00000004053	11
ENSSSCG00000004054	0
ENSSSCG00000004055	23
ENSSSCG00000004056	125
ENSSSCG00000004057	0
ENSSSCG00000004058	2867
ENSSSCG00000004059	28
ENSSSCG00000004060	35
ENSSSCG00000004061	67
ENSSSCG00000020070	1
ENSSSCG00000004062	39
ENSSSCG00000004063	141
ENSSSCG00000004064	1520
ENSSSCG00000019015	0
ENSSSCG00000004065	814
ENSSSCG00000004066	217
ENSSSCG00000004067	3
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1382
ENSSSCG00000004071	147
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	55
ENSSSCG00000004076	96
ENSSSCG00000004077	36
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	12
ENSSSCG00000004081	5
ENSSSCG00000004082	1709
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	57
ENSSSCG00000004088	187
ENSSSCG00000004089	149
ENSSSCG00000004090	201
ENSSSCG00000004091	1787
ENSSSCG00000004092	812
ENSSSCG00000004093	0
ENSSSCG00000004094	0
ENSSSCG00000004095	4
ENSSSCG00000004096	12
ENSSSCG00000004097	6
ENSSSCG00000004098	30
ENSSSCG00000004099	4
ENSSSCG00000004100	26
ENSSSCG00000004101	183
ENSSSCG00000004102	0
ENSSSCG00000004103	897
ENSSSCG00000004104	486
ENSSSCG00000004105	131
ENSSSCG00000004106	1045
ENSSSCG00000004107	126
ENSSSCG00000004108	577
ENSSSCG00000004109	11
ENSSSCG00000004110	1194
ENSSSCG00000004111	153
ENSSSCG00000020613	0
ENSSSCG00000004112	0
ENSSSCG00000004113	150
ENSSSCG00000004114	9
ENSSSCG00000004115	0
ENSSSCG00000004116	3
ENSSSCG00000004117	430
ENSSSCG00000004118	4
