Geneid	SRR14612097_fibroblast_female
ENSSSCG00000004006	245
ENSSSCG00000004007	193
ENSSSCG00000004008	1
ENSSSCG00000004009	0
ENSSSCG00000004010	207
ENSSSCG00000004011	244
ENSSSCG00000004012	3558
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	2
ENSSSCG00000004017	6
ENSSSCG00000004018	198
ENSSSCG00000004019	0
ENSSSCG00000004020	411
ENSSSCG00000004021	1
ENSSSCG00000004022	365
ENSSSCG00000004023	131
ENSSSCG00000004024	809
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	37
ENSSSCG00000004028	0
ENSSSCG00000004029	3373
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	4
ENSSSCG00000004033	194
ENSSSCG00000004034	185
ENSSSCG00000004035	0
ENSSSCG00000004036	4
ENSSSCG00000004037	203
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	847
ENSSSCG00000004043	140
ENSSSCG00000004044	4140
ENSSSCG00000004045	0
ENSSSCG00000004046	1
ENSSSCG00000004047	381
ENSSSCG00000004048	3000
ENSSSCG00000018530	3
ENSSSCG00000018605	9
ENSSSCG00000004049	1662
ENSSSCG00000004050	1235
ENSSSCG00000004051	16884
ENSSSCG00000004052	918
ENSSSCG00000004053	22
ENSSSCG00000004054	0
ENSSSCG00000004055	46
ENSSSCG00000004056	145
ENSSSCG00000004057	0
ENSSSCG00000004058	3069
ENSSSCG00000004059	41
ENSSSCG00000004060	64
ENSSSCG00000004061	59
ENSSSCG00000020070	0
ENSSSCG00000004062	55
ENSSSCG00000004063	137
ENSSSCG00000004064	1720
ENSSSCG00000019015	0
ENSSSCG00000004065	921
ENSSSCG00000004066	258
ENSSSCG00000004067	16
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1601
ENSSSCG00000004071	223
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	55
ENSSSCG00000004076	138
ENSSSCG00000004077	78
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	13
ENSSSCG00000004081	4
ENSSSCG00000004082	2429
ENSSSCG00000004083	0
ENSSSCG00000004084	0
