Geneid	SRR14612087_fibroblast_male
ENSSSCG00000004206	34
ENSSSCG00000004207	55
ENSSSCG00000004208	1
ENSSSCG00000004209	1328
ENSSSCG00000004210	0
ENSSSCG00000004211	0
ENSSSCG00000004212	0
ENSSSCG00000004213	0
ENSSSCG00000019365	0
ENSSSCG00000004214	5
ENSSSCG00000018593	0
ENSSSCG00000004215	52
ENSSSCG00000004216	484
ENSSSCG00000004217	969
ENSSSCG00000004218	26
ENSSSCG00000004219	28
ENSSSCG00000004220	136
ENSSSCG00000004221	101
ENSSSCG00000004222	847
ENSSSCG00000004223	1840
ENSSSCG00000004224	139
ENSSSCG00000004225	0
ENSSSCG00000004226	36
ENSSSCG00000004227	69
ENSSSCG00000019074	0
ENSSSCG00000019497	0
ENSSSCG00000004231	0
ENSSSCG00000004232	2
ENSSSCG00000004233	305
ENSSSCG00000004234	4
ENSSSCG00000004235	257
ENSSSCG00000004236	6
ENSSSCG00000004237	1569
ENSSSCG00000004238	154
ENSSSCG00000004239	68
ENSSSCG00000020356	0
ENSSSCG00000004240	0
ENSSSCG00000004241	15672
ENSSSCG00000004242	199
ENSSSCG00000004243	30
ENSSSCG00000004244	580
ENSSSCG00000004245	46
ENSSSCG00000004246	266
ENSSSCG00000004247	246
ENSSSCG00000004248	7
ENSSSCG00000004249	69
ENSSSCG00000020423	0
ENSSSCG00000004250	0
ENSSSCG00000004251	699
ENSSSCG00000004252	0
ENSSSCG00000004253	723
ENSSSCG00000004254	380
ENSSSCG00000004255	0
ENSSSCG00000004256	0
ENSSSCG00000004257	0
ENSSSCG00000004258	0
ENSSSCG00000019126	0
ENSSSCG00000004259	0
ENSSSCG00000004260	4
ENSSSCG00000004261	488
ENSSSCG00000004262	23
ENSSSCG00000004263	206
ENSSSCG00000004264	0
ENSSSCG00000018549	0
ENSSSCG00000004265	826
ENSSSCG00000004266	0
ENSSSCG00000004267	2461
ENSSSCG00000004268	741
ENSSSCG00000019521	0
ENSSSCG00000004269	0
ENSSSCG00000020480	0
ENSSSCG00000018616	0
ENSSSCG00000018217	0
ENSSSCG00000004270	0
ENSSSCG00000004271	0
ENSSSCG00000004272	507
ENSSSCG00000004273	1
ENSSSCG00000004274	0
ENSSSCG00000004275	861
ENSSSCG00000004276	933
ENSSSCG00000004277	9
ENSSSCG00000004278	5
ENSSSCG00000004279	184
ENSSSCG00000019520	1
ENSSSCG00000019941	0
ENSSSCG00000020544	0
ENSSSCG00000018440	0
ENSSSCG00000019442	0
ENSSSCG00000004280	4
ENSSSCG00000004281	211
ENSSSCG00000004282	7
ENSSSCG00000004283	0
ENSSSCG00000004284	1
ENSSSCG00000004285	0
ENSSSCG00000004286	79
ENSSSCG00000004287	0
ENSSSCG00000004288	21
ENSSSCG00000004289	242
ENSSSCG00000004290	1097
ENSSSCG00000004291	982
ENSSSCG00000004292	4582
ENSSSCG00000004293	2505
ENSSSCG00000004294	3945
ENSSSCG00000019135	4
ENSSSCG00000019921	0
ENSSSCG00000004295	2
ENSSSCG00000004296	1
ENSSSCG00000020277	0
ENSSSCG00000004297	0
ENSSSCG00000004298	1617
ENSSSCG00000004299	0
