Geneid	SRR14612093_myofibroblast_male
ENSSSCG00000004006	187
ENSSSCG00000004007	106
ENSSSCG00000004008	4
ENSSSCG00000004009	0
ENSSSCG00000004010	100
ENSSSCG00000004011	163
ENSSSCG00000004012	4112
ENSSSCG00000018614	0
ENSSSCG00000004013	2
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	7
ENSSSCG00000004018	180
ENSSSCG00000004019	3
ENSSSCG00000004020	233
ENSSSCG00000004021	0
ENSSSCG00000004022	331
ENSSSCG00000004023	85
ENSSSCG00000004024	419
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	33
ENSSSCG00000004028	0
ENSSSCG00000004029	2976
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	5
ENSSSCG00000004033	144
ENSSSCG00000004034	150
ENSSSCG00000004035	0
ENSSSCG00000004036	5
ENSSSCG00000004037	173
ENSSSCG00000004038	0
ENSSSCG00000004039	1
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	715
ENSSSCG00000004043	122
ENSSSCG00000004044	3116
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	227
ENSSSCG00000004048	2813
ENSSSCG00000018530	2
ENSSSCG00000018605	9
ENSSSCG00000004049	1375
ENSSSCG00000004050	683
ENSSSCG00000004051	695
ENSSSCG00000004052	2173
ENSSSCG00000004053	15
ENSSSCG00000004054	0
ENSSSCG00000004055	24
ENSSSCG00000004056	125
ENSSSCG00000004057	0
ENSSSCG00000004058	3469
ENSSSCG00000004059	44
ENSSSCG00000004060	40
ENSSSCG00000004061	48
ENSSSCG00000020070	0
ENSSSCG00000004062	21
ENSSSCG00000004063	65
ENSSSCG00000004064	1934
ENSSSCG00000019015	0
ENSSSCG00000004065	925
ENSSSCG00000004066	211
ENSSSCG00000004067	14
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1157
ENSSSCG00000004071	147
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	22
ENSSSCG00000004076	113
ENSSSCG00000004077	56
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	24
ENSSSCG00000004081	4
ENSSSCG00000004082	2144
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	17
ENSSSCG00000004088	149
ENSSSCG00000004089	116
ENSSSCG00000004090	125
ENSSSCG00000004091	2585
ENSSSCG00000004092	618
ENSSSCG00000004093	0
ENSSSCG00000004094	0
ENSSSCG00000004095	1
ENSSSCG00000004096	10
ENSSSCG00000004097	2
ENSSSCG00000004098	18
ENSSSCG00000004099	0
ENSSSCG00000004100	46
ENSSSCG00000004101	108
ENSSSCG00000004102	0
ENSSSCG00000004103	873
ENSSSCG00000004104	307
ENSSSCG00000004105	99
ENSSSCG00000004106	991
ENSSSCG00000004107	112
ENSSSCG00000004108	350
ENSSSCG00000004109	2
ENSSSCG00000004110	1725
ENSSSCG00000004111	291
ENSSSCG00000020613	0
ENSSSCG00000004112	0
ENSSSCG00000004113	136
ENSSSCG00000004114	2
ENSSSCG00000004115	0
ENSSSCG00000004116	1
ENSSSCG00000004117	224
ENSSSCG00000004118	4
ENSSSCG00000004119	0
ENSSSCG00000004120	404
ENSSSCG00000004121	1265
ENSSSCG00000004122	62
ENSSSCG00000004123	784
ENSSSCG00000004124	2048
ENSSSCG00000004125	250
ENSSSCG00000004126	186
ENSSSCG00000004127	364
ENSSSCG00000004128	0
ENSSSCG00000004129	8
ENSSSCG00000004130	147
ENSSSCG00000004131	16
ENSSSCG00000004132	389
ENSSSCG00000020208	0
ENSSSCG00000004133	734
ENSSSCG00000004134	105
ENSSSCG00000004135	33
