Geneid	SRR14612092_myofibroblast_male
ENSSSCG00000004006	79
ENSSSCG00000004007	47
ENSSSCG00000004008	1
ENSSSCG00000004009	0
ENSSSCG00000004010	50
ENSSSCG00000004011	75
ENSSSCG00000004012	1513
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	1
ENSSSCG00000004018	96
ENSSSCG00000004019	0
ENSSSCG00000004020	105
ENSSSCG00000004021	2
ENSSSCG00000004022	125
ENSSSCG00000004023	27
ENSSSCG00000004024	206
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	13
ENSSSCG00000004028	0
ENSSSCG00000004029	1282
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	3
ENSSSCG00000004033	77
ENSSSCG00000004034	64
ENSSSCG00000004035	0
ENSSSCG00000004036	3
ENSSSCG00000004037	83
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	318
ENSSSCG00000004043	55
ENSSSCG00000004044	1539
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	91
ENSSSCG00000004048	1206
ENSSSCG00000018530	0
ENSSSCG00000018605	0
ENSSSCG00000004049	504
ENSSSCG00000004050	269
ENSSSCG00000004051	388
ENSSSCG00000004052	753
ENSSSCG00000004053	12
ENSSSCG00000004054	0
ENSSSCG00000004055	20
ENSSSCG00000004056	59
ENSSSCG00000004057	0
ENSSSCG00000004058	1483
ENSSSCG00000004059	13
ENSSSCG00000004060	22
ENSSSCG00000004061	25
ENSSSCG00000020070	0
ENSSSCG00000004062	13
ENSSSCG00000004063	46
ENSSSCG00000004064	835
ENSSSCG00000019015	0
ENSSSCG00000004065	360
ENSSSCG00000004066	87
ENSSSCG00000004067	12
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	502
ENSSSCG00000004071	70
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	14
ENSSSCG00000004076	35
ENSSSCG00000004077	36
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	7
ENSSSCG00000004081	0
ENSSSCG00000004082	1013
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	10
ENSSSCG00000004088	73
ENSSSCG00000004089	70
ENSSSCG00000004090	61
ENSSSCG00000004091	936
ENSSSCG00000004092	240
ENSSSCG00000004093	0
ENSSSCG00000004094	1
ENSSSCG00000004095	1
ENSSSCG00000004096	2
ENSSSCG00000004097	0
ENSSSCG00000004098	3
ENSSSCG00000004099	1
ENSSSCG00000004100	12
ENSSSCG00000004101	39
ENSSSCG00000004102	0
ENSSSCG00000004103	333
ENSSSCG00000004104	154
ENSSSCG00000004105	48
ENSSSCG00000004106	480
ENSSSCG00000004107	43
ENSSSCG00000004108	109
ENSSSCG00000004109	3
ENSSSCG00000004110	741
